№,Секунда,Микросекунда
1,1702375932,398795
2,1702375932,409614
3,1702375932,420052
4,1702375932,430777
5,1702375932,441247
6,1702375932,451456
7,1702375932,467529
8,1702375932,477983
9,1702375932,488487
10,1702375932,499003
11,1702375932,509176
12,1702375932,519836
13,1702375932,536489
14,1702375932,553818
15,1702375932,564751
16,1702375932,575825
17,1702375932,586361
18,1702375932,597066
19,1702375932,607980
20,1702375932,618237
21,1702375932,634897
22,1702375932,651992
23,1702375932,669362
24,1702375932,679558
25,1702375932,690095
26,1702375932,700726
27,1702375932,716734
28,1702375932,733645
29,1702375932,749999
30,1702375932,766327
31,1702375932,776965
32,1702375932,787596
33,1702375932,798045
34,1702375932,808782
35,1702375932,819032
36,1702375932,835358
37,1702375932,850367
38,1702375932,860554
39,1702375932,870723
40,1702375932,881172
41,1702375932,891694
42,1702375932,902148
43,1702375932,912408
44,1702375932,923055
45,1702375932,934188
46,1702375932,944913
47,1702375932,955116
48,1702375932,965794
49,1702375932,975987
50,1702375932,986197
51,1702375932,996313
52,1702375933,7113
53,1702375933,17249
54,1702375933,28041
55,1702375933,38842
56,1702375933,49585
57,1702375933,59850
58,1702375933,70521
59,1702375933,81117
60,1702375933,91418
61,1702375933,103419
62,1702375933,118819
63,1702375933,133246
64,1702375933,143718
65,1702375933,154326
66,1702375933,164438
67,1702375933,175008
68,1702375933,185469
69,1702375933,196163
70,1702375933,206577
71,1702375933,216752
72,1702375933,226965
73,1702375933,237657
74,1702375933,248437
75,1702375933,259171
76,1702375933,269358
77,1702375933,280133
78,1702375933,290897
79,1702375933,301614
80,1702375933,312437
81,1702375933,323164
82,1702375933,333346
83,1702375933,343482
84,1702375933,353661
85,1702375933,370499
86,1702375933,387856
87,1702375933,405380
88,1702375933,415628
89,1702375933,426503
90,1702375933,439430
91,1702375933,456039
92,1702375933,467309
93,1702375933,477806
94,1702375933,488053
95,1702375933,504148
96,1702375933,514389
97,1702375933,524773
98,1702375933,535332
99,1702375933,551396
100,1702375933,561585
101,1702375933,571815
102,1702375933,582015
103,1702375933,592179
104,1702375933,602341
105,1702375933,612484
106,1702375933,622705
107,1702375933,632854
108,1702375933,643063
109,1702375933,653210
110,1702375933,663588
111,1702375933,674205
112,1702375933,685196
113,1702375933,701267
114,1702375933,711679
115,1702375933,722466
116,1702375933,733250
117,1702375933,743976
118,1702375933,755003
119,1702375933,765731
120,1702375933,776499
121,1702375933,787273
122,1702375933,798054
123,1702375933,808185
124,1702375933,818372
125,1702375933,828523
126,1702375933,839287
127,1702375933,850065
128,1702375933,860849
129,1702375933,871583
130,1702375933,882423
131,1702375933,893147
132,1702375933,903937
133,1702375933,914690
134,1702375933,925065
135,1702375933,935276
136,1702375933,945487
137,1702375933,955664
138,1702375933,965883
139,1702375933,976007
140,1702375933,986749
141,1702375933,997507
142,1702375934,8311
143,1702375934,19065
144,1702375934,29871
145,1702375934,40427
146,1702375934,50907
147,1702375934,61098
148,1702375934,71279
149,1702375934,81475
150,1702375934,92181
151,1702375934,102360
152,1702375934,113050
153,1702375934,123835
154,1702375934,134553
155,1702375934,145331
156,1702375934,155467
157,1702375934,165686
158,1702375934,176407
159,1702375934,187234
160,1702375934,197953
161,1702375934,208756
162,1702375934,219482
163,1702375934,230244
164,1702375934,241020
165,1702375934,251786
166,1702375934,262511
167,1702375934,273297
168,1702375934,284018
169,1702375934,294220
170,1702375934,304938
171,1702375934,315141
172,1702375934,325289
173,1702375934,335493
174,1702375934,345639
175,1702375934,355941
176,1702375934,366081
177,1702375934,376255
178,1702375934,387009
179,1702375934,397779
180,1702375934,408500
181,1702375934,419589
182,1702375934,430347
183,1702375934,441293
184,1702375934,452043
185,1702375934,462917
186,1702375934,473669
187,1702375934,484444
188,1702375934,494636
189,1702375934,504851
190,1702375934,515573
191,1702375934,526081
192,1702375934,536759
193,1702375934,547330
194,1702375934,558044
195,1702375934,568265
196,1702375934,579016
197,1702375934,589177
198,1702375934,599937
199,1702375934,610098
200,1702375934,620887
201,1702375934,631075
202,1702375934,641493
203,1702375934,651651
204,1702375934,662059
205,1702375934,672586
206,1702375934,682759
207,1702375934,693214
208,1702375934,703521
209,1702375934,713651
210,1702375934,723940
211,1702375934,734054
212,1702375934,750020
213,1702375934,760573
214,1702375934,770845
215,1702375934,781366
216,1702375934,791955
217,1702375934,802199
218,1702375934,812670
219,1702375934,823133
220,1702375934,833589
221,1702375934,844096
222,1702375934,854387
223,1702375934,864566
224,1702375934,875021
225,1702375934,885239
226,1702375934,895956
227,1702375934,906101
228,1702375934,916316
229,1702375934,926779
230,1702375934,937101
231,1702375934,947551
232,1702375934,957999
233,1702375934,968411
234,1702375934,983461
235,1702375934,999622
236,1702375935,9775
237,1702375935,20310
238,1702375935,30509
239,1702375935,41218
240,1702375935,51429
241,1702375935,62135
242,1702375935,72343
243,1702375935,82514
244,1702375935,92690
245,1702375935,103126
246,1702375935,113573
247,1702375935,124172
248,1702375935,134513
249,1702375935,145200
250,1702375935,155456
251,1702375935,165583
252,1702375935,176262
253,1702375935,186660
254,1702375935,196963
255,1702375935,207108
256,1702375935,217662
257,1702375935,228421
258,1702375935,239020
259,1702375935,249216
260,1702375935,259803
261,1702375935,276105
262,1702375935,286724
263,1702375935,298400
264,1702375935,308517
265,1702375935,319003
266,1702375935,333141
267,1702375935,343817
268,1702375935,354584
269,1702375935,365318
270,1702375935,376096
271,1702375935,386249
272,1702375935,397564
273,1702375935,408332
274,1702375935,419063
275,1702375935,429711
276,1702375935,439838
277,1702375935,450046
278,1702375935,460181
279,1702375935,470879
280,1702375935,481586
281,1702375935,492339
282,1702375935,503117
283,1702375935,513909
284,1702375935,524695
285,1702375935,535509
286,1702375935,546247
287,1702375935,556443
288,1702375935,566591
289,1702375935,576768
290,1702375935,587592
